,Genes
0,Xkr4
1,Gm1992
2,Gm19938
3,Sox17
4,Mrpl15
5,Lypla1
6,Tcea1
7,Rgs20
8,Atp6v1h
9,Rb1cc1
10,4732440D04Rik
11,St18
12,Pcmtd1
13,Gm26901
14,Sntg1
15,Rrs1
16,Adhfe1
17,2610203C22Rik
18,Mybl1
19,Vcpip1
20,1700034P13Rik
21,Sgk3
22,Mcmdc2
23,Snhg6
24,Tcf24
25,Cops5
26,Cspp1
27,Arfgef1
28,Prex2
29,Sulf1
30,Slco5a1
31,Ncoa2
32,Gm29570
33,Tram1
34,Lactb2
35,Eya1
36,Gm9947
37,Msc
38,Terf1
39,Sbspon
40,Rpl7
41,Rdh10
42,Stau2
43,Ube2w
44,Eloc
45,D030040B21Rik
46,Tmem70
47,Ly96
48,Gm28376
49,Jph1
50,Gdap1
51,Pi15
52,Gm28154
53,Gm16070
54,Crispld1
55,Gm28153
56,Mcm3
57,Paqr8
58,Efhc1
59,Tram2
60,Tmem14a
61,Gsta3
62,Gm28836
63,Kcnq5
64,Rims1
65,Gm29107
66,Ogfrl1
67,B3gat2
68,Smap1
69,Sdhaf4
70,Fam135a
71,Col19a1
72,Lmbrd1
73,Phf3
74,Ptp4a1
75,Ptp4a1-1
76,Prim2
77,Rab23
78,Bag2
79,Zfp451
80,Bend6
81,Dst
82,Gm26788
83,Gm37233
84,Ccdc115
85,Imp4
86,Ptpn18
87,Gm28417
88,Arhgef4
89,Gm38336
90,Fam168b
91,Plekhb2
92,1110002O04Rik
93,Hs6st1
94,Uggt1
95,Neurl3
96,Arid5a
97,4930403P22Rik
98,Kansl3
99,Lman2l
100,Cnnm4
101,Cnnm3
102,Ankrd23
103,Ankrd39
104,Sema4c
105,D430040D24Rik
106,Fam178b
107,Cox5b
108,Actr1b
109,4933424G06Rik
110,Zap70
111,Tmem131
112,Gm38115
113,Vwa3b
114,Inpp4a
115,Coa5
116,Unc50
117,Mgat4a
118,2010300C02Rik
119,Tsga10
120,Lipt1
121,Mitd1
122,Mrpl30
123,Txndc9
124,Eif5b
125,Rev1
126,Aff3
127,Gm16150
128,Gm16152
129,Lonrf2
130,Chst10
131,Pdcl3
132,Npas2
133,Rpl31
134,Tbc1d8
135,Cnot11
136,Gm15832
137,Rnf149
138,Creg2
139,Rfx8
140,1700066B17Rik
141,Map4k4
142,Il1r2
143,Gm16894
144,Il1r1
145,Il1rl2
146,Il1rl1
147,Il18r1
148,Il18rap
149,Slc9a4
150,Slc9a2
151,Mfsd9
152,Mrps9
153,Gpr45
154,Tgfbrap1
155,8430432A02Rik
156,AI597479
157,Fhl2
158,Nck2
159,Ecrg4
160,Gm29155
161,Gm29157
162,Uxs1
163,Tpp2
164,Mettl21c
165,Gm8251
166,Tex30
167,Poglut2
168,Bivm
169,Ercc5
170,Gulp1
171,Col3a1
172,Col5a2
173,Wdr75
174,Slc40a1
175,Dnah7b
176,Dnah7c
177,Slc39a10
178,Gm28151
179,Tmeff2
180,Gm28320
181,Gm29325
182,9330175M20Rik
183,Cavin2
184,Nabp1
185,Myo1b
186,Stat4
187,Gm31812
188,Stat1
189,Gls
190,Nab1
191,Gm553
192,Nemp2
193,Mfsd6
194,Inpp1
195,Hibch
196,1700019D03Rik
197,1700019A02Rik
198,Pms1
199,Ormdl1
200,Osgepl1
201,Asnsd1
202,Dnah7a
203,Stk17b
204,Hecw2
205,Ccdc150
206,Gtf3c3
207,Pgap1
208,Ankrd44
209,4930444A19Rik
210,Sf3b1
211,Coq10b
212,Hspd1
213,Hspe1
214,Mob4
215,Rftn2
216,Gm10561
217,Mars2
218,Boll
219,Plcl1
220,Satb2
221,9130024F11Rik
222,1700066M21Rik
223,Tyw5
224,Maip1
225,Spats2l
226,Kctd18
227,Sgo2a
228,Aox1
229,Aox3
230,Bzw1
231,Clk1
232,Ppil3
233,Nif3l1
234,Orc2
235,Gm15834
236,Fam126b
237,Ndufb3
238,Flacc1
239,Cflar
240,Casp8
241,Trak2
242,Stradb
243,Tmem237
244,G730003C15Rik
245,Mpp4
246,Als2
247,Cdk15
248,Fzd7
249,Gm973
250,Sumo1
251,Nop58
252,Bmpr2
253,Fam117b
254,Ica1l
255,Wdr12
256,Carf
257,Nbeal1
258,Cyp20a1
259,Abi2
260,Raph1
261,Cd28
262,Ctla4
263,Icos
264,Pard3b
265,Pard3bos1
266,Pard3bos3
267,Nrp2
268,Ino80d
269,Ino80dos
270,Gm20342
271,Ndufs1
272,Eef1b2
273,Zdbf2
274,Adam23
275,Fastkd2
276,Klf7
277,Gm13748
278,Gm28981
279,Creb1
280,Mettl21a
281,Gm28982
282,Gm29152
283,2810408I11Rik
284,Ccnyl1
285,Fzd5
286,Plekhm3
287,Akr1cl
288,Idh1
289,Pikfyve
290,Pth2r
291,Map2
292,Rpe
293,Kansl1l
294,Acadl
295,Myl1
296,Lancl1
297,Erbb4
298,Ikzf2
299,Gm28112
300,Bard1
301,Atic
302,Fn1
303,Apol7d
304,4933417E11Rik
305,Mreg
306,Pecr
307,Tmem169
308,Xrcc5
309,Smarcal1
310,Ankar
311,Rpl37a
312,Igfbp2
313,Igfbp5
314,6030407O03Rik
315,Tns1
316,Rufy4
317,Cxcr2
318,Arpc2
319,Gpbar1
320,Aamp
321,Pnkd
322,Tmbim1
323,Gm29358
324,Catip
325,Slc11a1
326,Ctdsp1
327,Vil1
328,Usp37
329,Cnot9
330,Plcd4
331,Zfp142
332,Bcs1l
333,Rnf25
334,Stk36
335,Ttll4
336,Cyp27a1
337,Wnt6
338,Ihh
339,Nhej1
340,Slc23a3
341,Cnppd1
342,Retreg2
343,Zfand2b
344,Abcb6
345,Atg9a
346,Ankzf1
347,Glb1l
348,Stk16
349,Tuba4a
350,Dnajb2
351,Ptprn
352,Dnpep
353,Des
354,Speg
355,Gmppa
356,Chpf
357,Obsl1
358,Tmem198
359,Inha
360,Stk11ip
361,Slc4a3
362,Epha4
363,Farsb
364,Mogat1
365,Acsl3
366,Utp14b
367,Gm29536
368,Kcne4
369,Scg2
370,Ap1s3
371,Wdfy1
372,Mrpl44
373,Serpine2
374,Cul3
375,Dock10
376,Irs1
377,Rhbdd1
378,Col4a4
379,Col4a3
380,C430014B12Rik
381,Mff
382,Gm28941
383,Agfg1
384,A030005L19Rik
385,Slc19a3
386,Sphkap
387,4933436I20Rik
388,Pid1
389,Dner
390,Trip12
391,Fbxo36
392,Slc16a14
393,C130026I21Rik
394,A530032D15Rik
395,Sp110
396,Sp140
397,Gm10552
398,Sp100
399,A630001G21Rik
400,Cab39
401,Itm2c
402,Gpr55
403,Psmd1
404,Htr2b
405,Armc9
406,Ncl
407,C130036L24Rik
408,Ptma
409,Pde6d
410,Cops7b
411,Nppc
412,Dis3l2
413,Gm29055
414,Gm28375
415,Eif4e2
416,Efhd1
417,Gigyf2
418,Kcnj13
419,Snorc
420,Ngef
421,Neu2
422,Inpp5d
423,Atg16l1
424,Sag
425,Dgkd
426,Usp40
427,Gm20528
428,Ugt1a7c
429,Ugt1a6a
430,Dnajb3
431,Mroh2a
432,Hjurp
433,Arl4c
434,Sh3bp4
435,Agap1
436,4933400F21Rik
437,D130058E05Rik
438,Ackr3
439,Gm28723
440,Cops8
441,Gm9991
442,Col6a3
443,Mlph
444,Rab17
445,Lrrfip1
446,Rbm44
447,Ramp1
448,Ube2f
449,Scly
450,Gm17090
451,Klhl30
452,Ilkap
453,Hes6
454,Per2
455,Traf3ip1
456,Asb1
457,Twist2
458,Gm29101
459,Hdac4
460,Ndufa10
461,Cops9
462,Gm29481
463,Gpc1
464,Ankmy1
465,Dusp28
466,5033417F24Rik
467,Rnpepl1
468,9430060I03Rik
469,Capn10
470,Gpr35
471,Kif1a
472,Sned1
473,Mterf4
474,Gm28535
475,Pask
476,Ppp1r7
477,Hdlbp
478,Sept2
479,Farp2
480,Stk25
481,Bok
482,Thap4
483,Gm10550
484,Atg4b
485,Dtymk
486,Ing5
487,D2hgdh
488,Pdcd1
489,Fam174a
490,St8sia4
491,D1Ertd622e
492,Ppip5k2
493,Gin1
494,Pam
495,B230216N24Rik
496,1810006J02Rik
497,Slco6d1
498,Gm7967
499,Gm28187
500,Cdh20
501,Rnf152
502,Gm17634
503,Gm28403
504,Pign
505,Gm28404
506,Relch
507,Tnfrsf11a
508,Gm7160
509,Zcchc2
510,Gm20753
511,Phlpp1
512,Bcl2
513,D630008O14Rik
514,Kdsr
515,Vps4b
516,Serpinb7
517,Serpinb2
518,Serpinb8
519,Cdh19
520,Dsel
521,Cntnap5a
522,Tsn
523,Nifk
524,Clasp1
525,2900060B14Rik
526,Tfcp2l1
527,Gli2
528,Inhbb
529,Ralb
530,Gm27184
531,Tmem185b
532,Epb41l5
533,Ptpn4
534,Tmem177
535,Tmem37
536,Dbi
537,3110009E18Rik
538,Steap3
539,Insig2
540,Ccdc93
541,Ddx18
542,Dpp10
543,Actr3
544,Slc35f5
545,Gpr39
546,Lypd1
547,Nckap5
548,Mgat5
549,Tmem163
550,2900009J06Rik
551,Ccnt2
552,Map3k19
553,Rab3gap1
554,Zranb3
555,R3hdm1
556,Ubxn4
557,Lct
558,Mcm6
559,Dars
560,Cxcr4
561,Thsd7b
562,Cd55b
563,Gm15674
564,Gm15675
565,Cd55
566,Gm16083
567,Pfkfb2
568,Yod1
569,AA986860
570,Fcmr
571,Il10
572,Mapkapk2
573,Dyrk3
574,Eif2d
575,Rassf5
576,Ikbke
577,Srgap2
578,Gm29488
579,Fam72a
580,Ctse
581,Rab7b
582,Slc41a1
583,Rab29
584,Nucks1
585,Slc45a3
586,Elk4
587,Mfsd4a
588,Cdk18
589,Klhdc8a
590,Nuak2
591,F730311O21Rik
592,Tmcc2
593,Dstyk
594,6030442K20Rik
595,Rbbp5
596,Tmem81
597,Nfasc
598,Lrrn2
599,Mdm4
600,Pik3c2b
601,Gm28609
602,Ppp1r15b
603,Plekha6
604,Ren1
605,Etnk2
606,Sox13
607,Snrpe
608,Zc3h11a
609,Gm38394
610,Lax1
611,Atp2b4
612,Optc
613,Gm15851
614,Prelp
615,Fmod
616,Btg2
617,Chit1
618,Adora1
619,Ppfia4
620,Tmem183a
621,Cyb5r1
622,Adipor1
623,Klhl12
624,Rabif
625,Kdm5b
626,Syt2
627,Ppp1r12b
628,Ube2t
629,Lgr6
630,Ptpn7
631,Arl8a
632,Gm15445
