index,cell_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Htra1,Smooth_Muscle_Cells,32258.56574427323,0.8412273394501492,0.014664942442025444,57.383381269706724,0.0,0.0
Gpx1,Smooth_Muscle_Cells,25760.569181775278,0.7176258260455816,0.013719827108135114,52.35521520640718,0.0,0.0
Fth1,Smooth_Muscle_Cells,380385.5212884343,0.33756536305749946,0.0074806203469015755,45.11304730562634,0.0,0.0
Anxa1,Smooth_Muscle_Cells,20592.25239045682,0.6500129229320406,0.01564192217635645,41.59090643639349,0.0,0.0
Cpxm2,Fibroblasts,10241.674016362467,2.0421405609564145,0.03522224536336834,58.00696484493948,0.0,0.0
Hspa8,Smooth_Muscle_Cells,119947.25846732041,-0.6737226815916065,0.012186622965127816,-55.53593918634163,0.0,0.0
Fhl1,Smooth_Muscle_Cells,38803.971136234606,0.2512034020781949,0.006143002298489562,39.81481448947687,0.0,0.0
Bgn,Smooth_Muscle_Cells,166096.69615564388,0.9327839662356662,0.010282568508734359,90.72051728777414,0.0,0.0
Hspa1a,Trem2+_Macrophages,1845.4818892297847,-3.6378667365565556,0.09055885080422356,-40.22794088564707,0.0,0.0
Palld,Fibroblasts,2697.756623055243,2.004548097818929,0.04363955016152805,45.98930223662812,0.0,0.0
Hhip,Fibroblasts,3083.1846498963746,-2.1693352447066383,0.04386451041740774,-49.5476286991773,0.0,0.0
Tppp3,Smooth_Muscle_Cells,4198.641843331743,-1.312071954884555,0.030625615988884452,-42.8924295500459,0.0,0.0
Mmp2,Fibroblasts,13335.414261210399,1.3315252164730689,0.029191057035803242,45.67267084880397,0.0,0.0
Tmsb4x,Smooth_Muscle_Cells,697008.2180982179,0.3390896179604248,0.007961763612832606,40.94089006079063,0.0,0.0
Rrad,Fibroblasts,1769.190215857783,3.756087748355593,0.0720894828486906,52.13380561023072,0.0,0.0
Large1,Smooth_Muscle_Cells,24872.06300805644,-0.655857780941949,0.014234475968794501,-46.222107739088976,0.0,0.0
Jund,Smooth_Muscle_Cells,64501.168846009845,-0.3930436677601399,0.010236695289813894,-38.50119402899116,0.0,0.0
Crlf1,Smooth_Muscle_Cells,5578.093622081247,3.811434718404163,0.03856228193685855,98.8231605014092,0.0,0.0
Icam1,Fibroblasts,5182.6475613751645,1.4964595971264252,0.03290372629064943,45.47543400011543,0.0,0.0
Cpe,Smooth_Muscle_Cells,58693.40719549005,-0.4085142320441682,0.010367552641766902,-39.42955306060389,0.0,0.0
Fxyd6,Fibroblasts,4113.354799542448,1.8997528360081657,0.04338973447572424,43.78781525094877,0.0,0.0
Cd81,Smooth_Muscle_Cells,33740.07392802128,0.46696679895132365,0.012110627862975424,38.57679713698406,0.0,0.0
Ctsd,Smooth_Muscle_Cells,19399.385397326496,0.615029958011147,0.016223235419255216,37.94466741766597,0.0,0.0
Nupr1,Smooth_Muscle_Cells,76816.32637491402,1.2300564843460287,0.021823775884112717,56.52882418757242,0.0,0.0
Pcolce2,Fibroblasts,27830.693833268335,-1.0256693753955806,0.021540564793839524,-47.68485080226137,0.0,0.0
Prss23,Smooth_Muscle_Cells,19022.89262089454,0.7509067183648098,0.01641861370847307,45.76700855666857,0.0,0.0
Apoe,Fibroblasts,29277.340931822637,1.4946445477678287,0.027235202479517055,54.84871195979371,0.0,0.0
Col18a1,Smooth_Muscle_Cells,65224.70217670698,0.46624180789453495,0.01109886028762134,41.982879447759714,0.0,0.0
Pkdcc,Smooth_Muscle_Cells,6117.7411927139265,-1.2171318147672716,0.02631140578964143,-46.36410299108709,0.0,0.0
Col3a1,Fibroblasts,201392.16816165767,1.2935455425833038,0.030906069459749004,41.85020309081589,0.0,0.0
Gsn,Fibroblasts,272966.87500772654,-0.7827584930804714,0.0187043298270822,-41.96792826547792,0.0,0.0
Hspa5,Fibroblasts,39028.68159341788,-0.9559655432326923,0.02277837557255472,-42.02606717934994,0.0,0.0
